title,genres,keywords,spoken_languages,overview,production_countries
April Fool's Day,"Horror, Mystery","island, party, murder, teen movie, slasher, april fool's day, holiday horror, canuxploitation, elimination derby, college friends",English,A group of eight college friends gather together at an island mansion belonging to heiress Muffy St. John to celebrate their final year of school. They soon discover that each has a hidden secret from,"Canada, United States of America"
Diner,"Comedy, Drama","diner, baltimore maryland, fake accident, gambling debt, twenty something, 1950s",English,"Set in 1959, Diner shows how five young men resist their adulthood and seek refuge in their beloved Diner. The mundane, childish, and titillating details of their lives are shared. But the golden mome",United States of America
Lone Wolf McQuade,"Action, Crime, Drama, Romance, Thriller, Western","martial arts, kung fu, texas, fbi, wheelchair, texas ranger, weapon, gun battle, drug, father daughter relationship, killing a dog","English, Español","The archetypical renegade Texas Ranger wages war against a drug kingpin with automatic weapons, his wits and martial arts after a gun battle leaves his partner dead. All of this inevitably culminates ",United States of America
Apollo 18,"Horror, Thriller, Science Fiction","moon, nasa, infection, barbecue, moon landing, hammer, alien, mockumentary, astronaut, alien infection, found footage","Český, English","Officially, Apollo 17 was the last manned mission to the moon. But a year later in 1973, three American astronauts were sent on a secret mission to the moon funded by the US Department of Defense. Wha","Canada, United States of America"
Sunshine Cleaning,"Comedy, Drama","suicide, single parent, sister sister relationship, cleaning lady, new mexico, teamwork, family business , crime scene, woman director","English, Español",A single mother and her slacker sister find an unexpected way to turn their lives around in the off-beat dramatic comedy. In order to raise the tuition to send her young son to private school the mom ,United States of America
No Escape,"Action, Thriller","hotel, revolution, race against time, engineer, coup, survival, rebellion, execution, american, family, american abroad, u.s. embassy, foreign","Français, English, ภาษาไทย","In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediatel",United States of America
The Beastmaster,"Action, Fantasy","sword fight, animal",English,"Dar, is the son of a king, who is hunted by a priest after his birth and grows up in another family. When he becomes a grown man his new father is murdered by savages and he discovers that he has the ",United States of America
Solomon and Sheba,"Drama, History, Romance, War","israel, egypt, religion and supernatural, epic",English,"Under the rule of King David, Israel is united and prosperous although surrounded by enemies including Egypt and its allies. The aging King David favors his younger son, Solomon, as his successor, but",United States of America
Fifty Shades of Black,"Romance, Comedy","sex, black, parody, spoof, millionaire",English,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.,United States of America
Not Easily Broken,"Drama, Romance",,"English, Français",A car accident and shifting affections test the bond between a married couple.,United States of America
A Farewell to Arms,"Drama, Romance, War","italy, nurse, love letter, officer, priest, escape, hospital, best friend, pre-code, air raid, ambulance driver, battle of the isonzo, air attack",English,"British nurse Catherine Barkley (Helen Hayes) and American Lieutenant Frederic Henry (Gary Cooper) fall in love during the First World War in Italy. Eventually separated by Frederic's transfer, tremen",United States of America
The Perfect Match,"Comedy, Romance","bet, match, playboy, fear of commitment, best friend",English,"Terrence J. stars as Charlie, a playboy who's convinced that relationships are dead. His two best friends, Donald Faison and Robert C. Riley, bet him that if he sticks to one woman for one month, he's",United States of America
Digimon: The Movie,"Fantasy, Animation, Science Fiction, Family","video game, monster, loss of energy, egg, computer, good vs evil, internet, based on video game, giant egg, animal trainer, superhero kids, anime","Deutsch, English",The first story focused on Tai and Kari Kamiya four years before their adventure in the Digital World. It shows their first encounter with Digimon and what happened to them (as well as the other child,"Japan, United States of America"
Saved!,"Comedy, Drama","christianity, gay, coming out, independent film, coming of age, lgbt child",English,"Teenage Mary Cummings, who has ""been Born Again her whole life,"" is about to enter her senior year at American Eagle Christian High School near Baltimore with her Fundamentalist Christian friends Hila",United States of America
The Barbarian Invasions,"Comedy, Crime, Drama","father son relationship, socialism, yuppie, professor, dying and death, cancer, money, university, illness, dying, family conflict, friend","English, Français","In this belated sequel to 'The Decline of the American Empire', 50-something Montreal college professor, Remy, learns that he is dying of liver cancer. He decides to make amends meet to his friends an","Canada, France"
Robin and Marian,"Action, Adventure, Drama, Romance","england, crusade, robin hood, king richard",English,"Whatever became of Robin Hood after his famed tale of good deeds ended? Now you can find out, in this sequel that takes place years after Robin and his merry men bested the Sheriff of Nottingham. Afte","United Kingdom, United States of America"
The Forsaken,"Action, Adventure, Horror, Thriller","vampire, full moon, poster, hitchhiker, homoeroticism, newspaper headline, vampire slayer, switchblade, gun in mouth, film canister, playing chicken, blood sucking, traffic violation, virus",English,A young man is in a race against time as he searches for a cure after becoming infected with a virus that will eventually turn him into a blood-sucking vampire.,United States of America
Force 10 from Navarone,"Action, Adventure, War, Thriller","gun, traitor, nazis, bridge, major, colonel, blood, sergeant, battle, partisan, woman, task force, keith mallory","English, Español","Mallory and Miller are back. The survivors of Navarone are sent on a mission along with a unit called Force 10, which is led by Colonel Barnsby. But Force 10 has a mission of their own which the boys ",United Kingdom
UHF,Comedy,"loser, tv station, game show, tv star, music video, satire, cult film, indiana jones spoof scene, music spoof",English,The eccentric new manager of a UHF television channel tries to save the station from financial ruin with an odd array of programming.,United States of America
Grandma's Boy,Comedy,"video game, grandmother grandson relationship, man child, stoner, game tester","English, Português","Even though he's 35, Alex acts more like he's 13, spending his days as the world's oldest video game tester and his evenings developing the next big Xbox game. But he gets kicked out of his apartment ",United States of America
Slums of Beverly Hills,"Comedy, Drama","sex, independent film, moving, beverly hills, woman director, nursing school, nomad",English,"In 1976, a lower-middle-class teenager struggles to cope living with her neurotic family of nomads on the outskirts of Beverly Hills.",United States of America
Once Upon a Time in the West,Western,"showdown, bounty, bounty hunter, loss of brother, sadness, blackmail, harmonica, anti hero, auction, dying and death, peasant, insanity, spaghetti western",English,This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins f,"Italy, Spain, United States of America"
Made,"Action, Comedy, Thriller",,English,Two aspiring boxers lifelong friends get involved in a money-laundering scheme through a low-level organized crime group.,United States of America
Moon,"Science Fiction, Drama","moon, artificial intelligence, clone, isolation, future, dystopia, space, cloning, moon base","Español, English","With only three weeks left in his three year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer an",United Kingdom
Keeping Up with the Steins,Comedy,"bar mitvah, party, independent film","English, עִבְרִית","All hilarity breaks loose in this heartwarming coming-of-age comedy when three generations of Fiedlers collide in a crazy family reunion. As they prepare for the biggest Bar Mitzvah on the block, they",United States of America
Sea Rex 3D: Journey to a Prehistoric World,Documentary,"prehistoric, dinosaur, imax, underwater scene, 3d, short",English,"Through the power of IMAX 3D, experience a wondrous adventure from the dinosaur age. Join Julie, an imaginative young woman, in a unique voyage through time and space. Explore an amazing underwater un","France, United Kingdom"
The Sweet Hereafter,Drama,"canada, suffering, village, paralysis, independent film, lawyer, school bus, vehicular accident","English, Español",A small mountain community in Canada is devastated when a school bus accident leaves more than a dozen of its children dead. A big-city lawyer arrives to help the survivors' and victims' families prep,Canada
Of Gods and Men,"Drama, History","monk, sunrise, medicine, hostage, evacuation, koran, protection, french, community, peace, faith, based on true story, religion, terrorism","العربية, Français","French drama based on the 1996 kidnapping and killing of seven monks in Algeria. A group of Trappist monks reside in the monastery of Tibhirine in Algeria, where they live in harmony with the largely ",France
Bottle Shock,"Comedy, Drama","wine garden, wine, winzer","Français, English, Deutsch","Paris-based wine expert Steven Spurrier heads to California in search of cheap wine that he can use for a blind taste test in the French capital. Stumbling upon the Napa Valley, the stuck-up Englishma",United States of America
Jekyll and Hyde ... Together Again,"Comedy, Horror, Science Fiction","double life, musical, jekyll and hyde",English,Dr. Jekyll (Mark Blankfield) inhales white powder and becomes an obnoxious Southern Californian.,United States of America
Heavenly Creatures,"Drama, Fantasy","mother, sex, secret, obsession, literature, nudity, fantasy, passion, love, friends, murder, independent film, lesbian, true, relationship",English,"Based on the true story of Juliet Hulme and Pauline Parker, two close friends who share a love of fantasy and literature, who conspire to kill Pauline's mother when she tries to end the girls' intense",New Zealand
90 Minutes in Heaven,Drama,"hospital, church","English, Português","A man involved in a horrific car crash is pronounced dead, only to come back to life an hour and a half later, claiming to have seen Heaven.",United States of America
Everything Must Go,"Comedy, Drama, Romance","alcohol, arizona, beer, playboy, independent film, salesman, pregnant, repo man",English,"When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form.",United States of America
Zero Effect,"Comedy, Crime, Mystery, Thriller","detective, blackmail, independent film",English,"Daryl Zero is a private investigator. Along with his assistant, Steve Arlo he solves impossible crimes and puzzles. Though a master investigator, when he is not working, Zero doesn't know what to do w",United States of America
The Machinist,"Thriller, Drama","factory, insomnia, post it, machinist, cleaning bathroom tile, osha, taunting, manhole, one armed man, torment, department of motor vehicles, mother's day, losing weight, old photograph, dostoevsky",English,"The Machinist is the story of Trevor Reznik, a lathe-operator who is dying of insomnia. In a machine shop, occupational hazards are bad enough under normal circumstances; yet for Trevor the risks are ","United States of America, Spain"
Light Sleeper,"Drama, Crime","suicide, drug dealer, redemption, addict, existentialism",English,"A drug dealer with upscale clientele is having moral problems going about his daily deliveries. A reformed addict, he has never gotten over the wife that left him, and the couple that use him for deli",United States of America
Kill the Messenger,"Thriller, Crime, Drama, Mystery",biography,English,A reporter becomes the target of a vicious smear campaign that drives him to the point of suicide after he exposes the CIA's role in arming Contra rebels in Nicaragua and importing cocaine into Califo,United States of America
Rabbit Hole,Drama,"loss of son, trauma, toy, marriage, grief, memory, crying, parking lot, therapy, car seat",English,Life for a happy couple is turned upside down after their young son dies in an accident.,United States of America
Party Monster,"Comedy, Drama, Crime","new york, hotel, based on novel, birthday, bath, nightclub, donut, hallucination, costume, injection, death of a friend, arrest, police, party, friends, independent film, man man relationship, money, drug",English,"The New York club scene of the 80s and 90s was a world like no other. Into this candy-colored, mirror ball playground stepped Michael Alig, a wannabe from nowhere special. Under the watchful eye of ve","Netherlands, United States of America"
Green Room,"Horror, Crime, Thriller","skinhead, heroin, music, cover-up, murder, suspense, gore, duct tape, swastika, pitbull, witness to murder, meat cleaver, bitten in the neck, neo nazi, punk band, fire extinguisher, mumblegore, killer dog, mauling, box cutter, feedback, mic stand",English,A young punk rock band find themselves trapped in a secluded venue after stumbling upon a horrific act of violence.,United States of America
The Oh in Ohio,"Comedy, Drama, Romance","sex, adultery, depression, infidelity, nightclub, nudity, orgasm, promise, bikini, guru, love, lesbian, lust, drug, therapy, pleasure",English,"Priscilla and Jack appear to be the perfect couple, but they have a secret: She is sexually frustrated. They separate in the hope of resolving the situation. While Jack moves into a bachelor pad and b",United States of America
Atlas Shrugged Part III: Who is John Galt?,"Drama, Science Fiction, Mystery","trilogy, ayn rand",English,"Approaching collapse, the nation's economy is quickly eroding. As crime and fear take over the countryside, the government continues to exert its brutal force against the nation's most productive who ",United States of America
Bottle Rocket,"Comedy, Crime, Drama","brother brother relationship, robbery, burglar, language barrier, motel, independent film, psychiatric hospital, maid, theft, nervous breakdown, escapade, laundry room","Español, English","Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained sch",United States of America
Albino Alligator,"Crime, Drama, Thriller","brother brother relationship, bar, gun, hostage, siege, police, suspense",English,Three petty thieves who the police believe to be major criminals are chased into a basement bar where they take five hostages including all the bar employees. The rest of the movie deals with the cops,United States of America
"Gandhi, My Father","Drama, Foreign, History","biography, mahatma gandhi, tragedy","हिन्दी, English","With Gandhi My Father, producer Anil Kapoor and director Feroz Abbas Khan have shed light onto Gandhi the person, rather than Gandhi the icon. Using Gandhi’s political career as a canvas, the film pai",India
Standard Operating Procedure,Documentary,"prison, prisoner, jail guard, prison cell, bagdad, iraq, photography, detention camp, torture, soldier, humiliation",English,Errol Morris examines the incidents of abuse and torture of suspected terrorists at the hands of U.S. forces at the Abu Ghraib prison.,United States of America
Out of the Blue,Drama,"punk, independent film, coming of age, teenage girl, alcoholic father",English,"Dennis Hopper is a hard-drinking truck driver who loses control of his truck under the influence and slams it into a busload of screaming children. After serving his five year jail sentence, Hopper fi",Canada
Tucker and Dale vs Evil,"Comedy, Horror","cabin, chainsaw, hillbilly, body in chipper, cut off jeans",English,"Two hillbillies are suspected of being killers by a group of paranoid college kids camping near the duo's West Virginian cabin. As the body count climbs, so does the fear and confusion as the college ","Canada, United States of America"
"Lovely, Still","Drama, Romance",independent film,Deutsch,A holiday fable that tells the story of an elderly man discovering love for the first time.,
Tycoon,"Action, Drama, Romance","mountains, engineer, railroad, ethics",English,"Engineer Johnny Munroe is enlisted to build a railroad tunnel through a mountain to reach mines. His task is complicated, and his ethics are compromised, when he falls in love with his boss's daughter",United States of America
Desert Blue,"Comedy, Drama","bomb, fire, fbi, quarantine, independent film, water park, bonfire, explosives, four-wheelers, soda, aqueduct, beer bong, giant ice cream cone",English,"An academic obsessed with ""roadside attractions"" and his tv-star daughter finally discover the world's largest ice cream cone, the centerpiece for an old gold-rush town struggling to stay on the map. ",United States of America
Decoys,"Horror, Science Fiction, Thriller",,English,"Luke and Roger are just another couple of college guys trying to lose their virginity. But when Luke sees something unusual, he begins to suspect that the girls on campus aren't exactly...human.",Canada
The Visit,"Horror, Thriller","rap music, pennsylvania, brother sister relationship, farm, grandparents, murder, children, independent film, farmhouse, single mother, violence, oven, found footage, hide and seek, diaper",English,The terrifying story of a brother and sister who are sent to their grandparents' remote Pennsylvania farm for a weeklong trip. Once the children discover that the elderly couple is involved in somethi,United States of America
Redacted,"Drama, War","iraq, iraq war","English, Español",Redacted is a film written and directed by Brian De Palma that is a fictional drama loosely based on the Mahmudiyah killings in Iraq.,United States of America
Fascination,"Romance, Thriller","beach, murder",English,Young Scott Doherty (Adam Garcia) gets suspicious when his mother (Jacqueline Bisset) plans to wed Oliver Vance (Stuart Wilson) soon after her husband's untimely death. Scott investigates with Oliver',"United Kingdom, Germany"
Area 51,"Horror, Thriller, Science Fiction","found footage, area 51","English, Português","Three young conspiracy theorists attempt to uncover the mysteries of Area 51, the government's secret location rumored to have hosted encounters with alien beings. What they find at this hidden facili",United States of America
Sleep Tight,Thriller,"barcelona spain, blackmail, concierge, caretaker, stalking, apartment building, peep hole, chloroform",Español,"Apartment concierge Cesar is a miserable person who believes he was born without the ability to be happy. As a result, he decides his mission is to make life hell for everyone around him. A majority o",Spain
The Cottage,"Horror, Comedy, Crime, Thriller","ransom, hostage, hostage drama","English, Français, Polski","In a remote part of the countryside, a bungled kidnapping turns into a living nightmare for four central characters when they cross paths with a psychopathic farmer and all hell breaks loose.",United Kingdom
Dead Like Me: Life After Death,"Drama, Fantasy, Comedy","suicide, life and death, coma, afterlife",English,"When George and her colleagues get a new boss whose focus is on moving souls quickly and enjoying life without consequences, the team begins to break the strict reaper rules. While her friends fall vi",United States of America
Farce of the Penguins,"Comedy, Documentary","penguin, balzen, antarctic",English,"In this spoof of ""March of the Penguins,"" nature footage of penguins near the South Pole gets a soundtrack of human voices. Carl and Jimmy, best friends, walk 70 miles to the mating grounds where the ",United States of America
Flying By,Drama,,English,"A real estate developer goes to his 25th high school reunion without his wife, and finds his old teenage band playing. They get him up on stage for a couple of songs, and convince him come to a rehear",
Rudderless,"Music, Drama, Comedy","father son relationship, rock band, grieving father",English,"A grieving father in a downward spiral stumbles across a box of his recently deceased son's demo tapes and lyrics. Shocked by the discovery of this unknown talent, he forms a band in the hope of findi",United States of America
Henry & Me,"Family, Animation","baseball, surrealism, children, new york yankees",English,"Henry &amp; Me tells the courageous story of Jack (AUSTIN WILLIAMS), a brave young boy who is dealt a life changing blow. Low on confidence and filled with self-doubt, hope seems lost until a mysterio",United States of America
Christmas Eve,"Romance, Comedy","photographer, surgeon, orchestra, doctor, car accident, power outage, stuck in elevator, elevator, christmas","Português, English","Hilarity, romance, and transcendence prevail after a power outage traps six different groups of New Yorkers inside elevators on Christmas Eve.",United States of America
We Have Your Husband,"TV Movie, Crime, Drama, Thriller",,English,"American-born Jayne Valseca, her husband Eduardo, the son of a legendary Mexican newspaper publisher, and their two children live an idyllic life on their 1,000 acre ranch outside of a peaceful Mexico",United States of America
Dying of the Light,"Thriller, Drama","cia, retirement, espionage, terrorism","العربية, English, Română","Evan Lake, a veteran CIA agent, has been ordered to retire. But when his protégé uncovers evidence that Lake's nemesis, the terrorist Banir, has resurfaced, Lake goes rogue, embarking on a perilous, i","Bahamas, United States of America"
Born Of War,"Action, Thriller, War","gun, oil, secret service, woman director, mina",English,"Mina, a young college student, has her life ripped away after her family is killed. When she finds out their murder was part of a botched kidnapping to return her to her real father—a terrorist in the","Cyprus, Jordan, United Kingdom"
Capricorn One,"Drama, Action, Thriller, Science Fiction","helicopter, nasa, texas, spacecraft, beguilement, crop duster, conspiracy, escape, astronaut, desert, mission to mars, investigative reporter, launchpad",English,"In order to protect the reputation of the American space program, a team of scientists stages a phony Mars landing. Willingly participating in the deception are a trio of well-meaning astronauts, who ","United Kingdom, United States of America"
Should've Been Romeo,"Comedy, Drama",,English,"A self-centered, middle-aged pitchman for a potato chip company loses his job and his livelihood just as his octogenarian grandfather is dropped on his doorstep unexpectedly by his mother on her way t",United States of America
Running Forever,Family,,,"After being estranged since her mother's death in the 9/11 attacks, both daughter and father must work together to re-establish their relationship. When the difficulty nearly consumes them both, a bon",United States of America
Yoga Hosers,"Comedy, Fantasy, Horror, Thriller","canada, nazis, sequel, spin off, ancient evil","English, Français, Deutsch",Two teenage yoga enthusiasts team up with a legendary man-hunter to battle with an ancient evil presence that is threatening their major party plans.,United States of America
Navy Seals vs. Zombies,"Horror, Action","louisiana, navy seal, zombie, violence, infected, walking dead, baton rouge",English,"A team of highly skilled Navy SEALS find themselves embarking on the battle of their lives when they come face-to-face with the undead. After a deadly outbreak occurs in New Orleans, the SEALS must fi",United States of America
I Served the King of England,"Comedy, Drama","expensive restaurant, luxury, adolf hitler, prague, sudetendeutsch, little boy, nazi germany","Polski, Český","Jan Dítě has been released from a Czech prison just before the very end of his 15-year sentence. Settling in a town near the border, he occupies his time with rebuilding a deserted house, and recallin","Czech Republic, Slovakia"
Soul Kitchen,"Drama, Comedy",,"Deutsch, ελληνικά","SOUL KITCHEN film centers on a likable but hopelessly disorganized restauranteur, Zinos, whose cafe is second home to a motley crew of lovable eccentrics. When his girlfriend Nadine up and moves to Sh",Germany
Sling Blade,Drama,"independent film, repair shop, southern, death threat, story, religious art, father figure",English,"Karl Childers is a mentally disabled man who has been in the custody of the state mental hospital since the age of 12 for killing his mother and her lover. Although thoroughly institutionalized, Karl ",United States of America
The Awakening,"Horror, Thriller","suicide, england, classroom, investigation, supernatural, murder, children, haunting, teacher, author, fear, estate, con, discovery, ghost, governess","Français, English",1921 England is overwhelmed by the loss and grief of World War I. Hoax exposer Florence Cathcart (Hall) visits a boarding school to explain sightings of a child ghost.,United Kingdom
Hostel,Horror,"bathroom, sex, amsterdam, europe, brothel, slovakia, backpacker, horror, gore, blood, torture, business card, doberman, hostel, surgery, elite club, fingers",English,"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",United States of America
A Cock and Bull Story,"Comedy, Drama","adaptation, film in a film",English,"Steve Coogan, an arrogant actor with low self-esteem and a complicated love life, is playing the eponymous role in an adaptation of ""The Life and Opinions of Tristram Shandy, Gentleman"" being filmed a",United Kingdom
Take Shelter,"Thriller, Drama","shelter, end of the world, sanity, apocalypse",English,"Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.",United States of America
Lady in White,"Horror, Thriller","small town, boy, murder, maniac, ghost, the sixties",English,"Locked in a school closet during Halloween 1962, young Frank witnesses the ghost of a young girl and the man who murdered her years ago. Shortly afterward he finds himself stalked by the killer and is",United States of America
Driving Lessons,"Drama, Comedy","auto, autoritian education, independent film, teacher",English,"A shy teenage boy trying to escape the influence of his domineering mother, has his world changed when he begins to work for a retired actress.",United Kingdom
Let's Kill Ward's Wife,Comedy,"wife murder, murder plot",English,"Everyone hates Ward’s wife and wants her dead, Ward (Donald Faison) most of all. But when his friends’ murderous fantasies turn into an (accidental) reality, they have to deal with a whole new set of ",United States of America
The Texas Chainsaw Massacre 2,Horror,"hammer, gore, slasher, chainsaw, b horror",English,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,United States of America
Pat Garrett & Billy the Kid,Western,"sheriff, aging, billy the kid, lawlessness, gun battle, gore, breast, old friends, flogging, man slaps a woman, pat garrett, manhunt",English,An aging Pat Garrett is hired as a lawman on behalf of a group of wealthy New Mexico cattle barons--his sole purpose being to bring down his old friend Billy the Kid.,United States of America
Only God Forgives,"Drama, Thriller, Crime","bangkok, suicidal, arthouse, neo-noir, drug trafficker, very little dialogue, emasculation","English, ภาษาไทย","Julian, who runs a Thai boxing club as a front organization for his family's drug smuggling operation, is forced by his mother Jenna to find and kill the individual responsible for his brother's recen","France, Denmark, Sweden, Thailand, United States of America"
Camping Sauvage,"Drama, Romance",,Français,"Un camping au bord d'un lac pendant les vacances d'été. Camille, 17 ans, y traîne son ennui coincée entre ses parents et son petit ami. Elle rencontre Blaise, la quarantaine, tout juste embauché comme",France
Without Men,"Comedy, Romance",woman director,English,The women of a remote Latin American town are forced to pick up the pieces and remake their world when all the town's men are forcibly recruited by communist guerrillas.,United States of America
Dear Frankie,"Drama, Family","scotland, father son relationship, single parent, loss of father, violent father, letter, ship, father, little boy, independent film, deaf, woman director",English,"Nine-year-old Frankie and his single mum Lizzie have been on the move ever since Frankie can remember, most recently arriving in a seaside Scottish town. Wanting to protect her deaf son from the truth",United Kingdom
All Hat,"Action, Comedy, Drama, Western","indian territory, horse, ranch, stetson, urbanisierung, best friend",English,"An ex-con returns to his rural Ontario roots and outwits a corrupt and wealthy thoroughbred owner trying to take over a slew of local farms. Ray Dokes, a charming ex-ballplayer, returns from jail to d","Canada, United Kingdom, United States of America"
The Names of Love,"Drama, Comedy, Romance","female nudity, political, voting results",Français,"Bahia Benmahmoud, a free-spirited young woman, has a particular way of seeing political engagement, as she doesn't hesitate to sleep with those who don't agree with her to convert them to her cause - ",France
Treading Water,"Drama, Comedy","fish, boy, parenting, first love, troubled childhood, child psychologist, woman director, synchronized swimming, self acceptance, parental advisor",English,"At first glance, Mica seems a perfectly normal boy. But first glances can often be deceiving... For one, Mica's house is now a museum honouring Guillermo Garibai, the legendary Mexican crooner. Mica s","Canada, Mexico"
Savage Grace,Drama,"mother, sex, adultery, nudity, scandal, son, love, murder, true, teenager, gay man, incest, socialite",English,"This examination of a famous scandal from the 1970s explores the relationship between Barbara Baekeland and her only son, Antony. Barbara, a lonely social climber unhappily married to the wealthy but ","United States of America, Spain, France"
Out of the Blue,Drama,"new zealand, gun rampage, police, independent film, neighbor, person running amok",English,"Ordinary people find extraordinary courage in the face of madness. On 13–14 November 1990 that madness came to Aramoana, a small New Zealand seaside town, in the form of a lone gunman with a high-powe",New Zealand
Police Academy,"Comedy, Crime","trainer, recruit, shenanigan, police academy",English,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter th",United States of America
The Blue Lagoon,"Romance, Adventure, Drama","sexual identity, shipwreck, lovers, stranded, marooned, pacific island, teenager, deserted island, tropical island, lost at sea",English,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years",United States of America
Four Weddings and a Funeral,"Comedy, Drama, Romance","upper class, love at first sight, wedding vows, marriage proposal, yuppie, love of one's life, lone wolf, snob, witness, bride, bridegroom, bridesmaid, funeral, clumsy fellow, friendship, wedding, gay couple",English,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one an,United Kingdom
Fast Times at Ridgemont High,Comedy,"sex, based on novel, nudity, friendship, high school, shopping mall, bikini, bong, teacher, coming of age, marijuana, loss of virginity, drug humor, teen movie, rock 'n' roll, stoner, irreverence, teen comedy, dream sequence, convenience store, teenage pregnancy, woman director, abortion, surfer dude",English,"Follows a group of high school students growing up in southern California, based on the real-life adventures chronicled by Cameron Crowe. Stacy Hamilton and Mark Ratner are looking for a love interest",United States of America
Moby Dick,"Adventure, Drama","based on novel, captain, boat, obsession, shipwreck, stroke of fate, whale, walrus, revenge",English,"In 1841, young Ishmael signs up for service abroad the Pequod, a whaler sailing out of New Bedford. The ship is under the command of Captain Ahab, a strict disciplinarian who exhorts his men to find M",United States of America
25th Hour,"Crime, Drama","prison, prisoner, dream, drug dealer, nightclub, american dream, male friendship, melancholy, girlfriend, friendship, aftercreditsstinger",English,"The filmed adaptation from David Benioff's novel of the same name. Set in New York, a convicted drug dealer named Monty has one day left of freedom before he is sent to prison. Anger, blame, frustrati",United States of America
Bound,"Crime, Drama, Romance, Thriller","prison, women's prison, suspense, mafia, lesbian, gangster, ex-con, woman director",English,"Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caeser.",United States of America
Requiem for a Dream,"Crime, Drama","drug addiction, junkie, heroin, speed, diet, unsociability, illegal prostitution",English,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.,United States of America
State Fair,"Music, Romance",state fair,English,"During their annual visit to the Iowa State Fair, the Frake family enjoy many adventures. Proud patriarch Abel (Charles Winninger) has high hopes for his champion swine Blueboy; and his wife Melissa (",United States of America
Tango,"Drama, Foreign, Romance","dancer, tango, musical, love",Español,A dangerous love affair inspires a director to create the most spectacular and bodly seductive dance film ever made. 1998 Oscar Nominee Best Foreign Language Film.,"Argentina, Spain"
Salvador,Drama,"civil war, dictator, journalist, guerrilla, loss of lover, revolution, war correspondent, civil rights movement , picture journalist, el salvador, dictatorship","English, Español",A second rated journalist from the US tries his luck in El Salvador during the military dictatorship in the 1980s.,"United Kingdom, United States of America"
Moms' Night Out,Comedy,"wife husband relationship, stress, children, mother daughter relationship, parenthood, parenting, parent child relationship, duringcreditsstinger",English,"Yearning for an evening without their kids, some friends plan a night out. But to do this, their husbands need to watch the kids. What can go wrong?",United States of America
Donnie Darko,"Fantasy, Drama, Mystery","parents kids relationship, airplane, time travel, school presentation, school performance, suburbia, vision, morality, teenager",English,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",United States of America
Saving Private Perez,"Action, Comedy, Foreign",,,"La vida ha llevado a Julián Pérez por caminos equivocados, pero el destino le presentará a este hombre la oportunidad de encontrar su redención cuando es enviado a la misión más peligrosa y noble de t",
Character,"Drama, Foreign, History",law and ethics,"Nederlands, English, Français, Deutsch","J.W. Katadreuffe is the son of Joba Katadreuffe and A.B. Drevenhaven. Though fully neglected by Joba, Dreverhaven ensures the succesfull career of his son. Mostly unseen, though he sues his son a few ","Netherlands, Belgium"
Spun,"Comedy, Crime, Drama","independent film, speed freak, junky cop, boy toy, porn magazine, dope selling, crank, handcuffed to a bed, cctv, veterinary clinic, needlepoint, needle, older woman younger woman relationship, telephone sex",English,"Over the course of three days Ross, a college dropout addicted to crystal-meth, encounters a variety of oddball folks - including a stripper named Nikki and her boyfriend, the local meth producer, The",United States of America
Life During Wartime,"Comedy, Drama","dark comedy, independent film",English,"Friends, family, and lovers struggle to find love, forgiveness, and meaning in an almost war-torn world riddled with comedy and pathos. Follows Solondz's film Happiness (1998).",United States of America
Sympathy for Lady Vengeance,"Drama, Thriller",independent film,"English, 日本語, 한국어/조선말","After a 13-year imprisonment for the kidnap and murder of a 6 year old boy, beautiful Lee Guem-ja starts seeking revenge on the man that was really responsible for the boy's death. With the help of fe",South Korea
Mozart's Sister,Drama,"royal court, overbearing father, harpsichord, 18th century",Français,"A re-imagined account of the early life of Maria Anna 'Nannerl' Mozart, five years older than Wolfgang and a musical prodigy in her own right.",France
