title,genres,keywords,original_language,production_countries,spoken_languages
Love Stinks,"Comedy, Romance","behind the scenes, spa, planetarium, art imitates life",en,United States of America,"Portugues, English"
You Kill Me,"Comedy, Crime, Thriller, Romance","new york, san francisco, alcoholism, serial killer, alcoholic",en,United States of America,English
Thumbsucker,"Comedy, Drama","becoming an adult, thumb, first time, hypnosis, thumb sucking, attention deficit hyperactivity disorder (adhd), elocution, high school, independent film, teenage crush, youth, family",en,United States of America,English
Red State,"Horror, Action, Thriller","christianity, homophobia, pastor, protest, christian, sign, gay interest, social commentary, religious fundamentalism, aftercreditsstinger, duringcreditsstinger",en,United States of America,English
Mirrormask,Fantasy,"fictional place, dream, fantasy",en,"United Kingdom, United States of America",English
Samsara,"Drama, Documentary","eating, around the world, fast motion scene, balance, skyline, sunset, modern life, moonrise",en,United States of America,English
The Barbarians,"Fantasy, Adventure","dragon, barbarian",en,"Italy, United States of America","English, Italiano, Spanish"
The Art of Getting By,"Drama, Romance","philosophy, mentor, artist, painting, friendship, teen movie, teenager, sketching, rebellious youth",en,United States of America,English
Zipper,"Thriller, Drama",woman director,en,United States of America,English
Poolhall Junkies,"Comedy, Drama, Thriller","hustler, independent film, pool",en,United States of America,English
The Loss of Sexual Innocence,Drama,,en,"United Kingdom, United States of America",English
Holy Motors,"Drama, Fantasy","limousine, multiple identities, wig, penis, talking car, sewer of paris, traveling through a sewer, multiple roles",en,France,French
Joe,Drama,"child abuse, prostitute, bar, brothel, snake, rain, pedophilia, bridge, beer, police, wine, fellatio, truck, woods, murder, dogfight, cigar smoking, underage drinking, teenager, facial scar, alcoholic, ex-con, cigarette lighter, grocery store, shot, search for dog, trees, dirt road, assaulting an officer, gallon of water",en,United States of America,English
Shooting Fish,"Crime, Comedy, Romance","london england, nightclub, chase, fraud, liar, love, thief, wealth, money, scam, hospital, secretary, business, wedding, parole, con, dishonesty",en,United Kingdom,English
Prison,"Crime, Drama, Horror, Thriller","prison, prisoner, revenge, haunting, electric chair",en,United States of America,English
Psycho Beach Party,Comedy,"gay, dancing, detective, confession, beach, surfer, satire, party, malibu, friends, revenge, murder, based on play, independent film, diner, spoof, summer, killer, drag",en,"Australia, United States of America",English
The Big Tease,"Comedy, Foreign","hairdresser, hairstylist",en,,English
"Guten Tag, Ramón",Drama,"germany, mexican",en,"Mexico, Germany","German, Spanish"
Trust,"Crime, Drama, Thriller","rape, obsession, lie, job, independent film, teenage girl, school, internet, best friend, counselor, internet chat, duringcreditsstinger, online chat, catfishing, online hookup, online predator",en,United States of America,English
An Everlasting Piece,"Comedy, Crime","toupee, scalper",en,United States of America,English
Among Giants,"Comedy, Romance","yorkshire, love, friends",en,United Kingdom,English
Adore,Drama,"lovers, woman director",en,"France, Australia",English
The Velocity of Gary,"Drama, Romance",,en,United States of America,English
Mondays in the Sun,Drama,"spain, bar, ship, drama, friends, shipyard, peseta",es,"Spain, France, Italy","Spanish, German"
Stake Land,"Drama, Horror, Action, Thriller, Science Fiction","male nudity, canada, vampire",en,United States of America,English
The Last Time I Committed Suicide,Drama,independent film,en,United States of America,English
Futuro Beach,Drama,"germany, gay, portugal, drowning, nudity, travel, brothers",pt,"Brazil, Germany","German, Portugues"
Another Happy Day,"Comedy, Drama",,en,United States of America,"English, French, German"
A Lonely Place to Die,"Adventure, Action, Thriller, Crime","terror, scotland, kidnapping, nudity, wilderness, mountaineer, hiking, climbing, torture",en,United Kingdom,"English, Italiano"
Nothing,"Comedy, Fantasy, Science Fiction","loser, bullying, leere, independent film, best friend, cowardliness",en,Canada,English
The Geographer Drank His Globe Away,Drama,"alcohol, adultery, river, camping, province, russia, wife, canoe, daughter, friendship, alcoholism, school, teaching, schoolboy, geography, kama, perm",ru,Russia,
1776,"Drama, Comedy, History, Music","usa, congress, musical",en,United States of America,English
Inescapable,"Thriller, Romance",woman director,en,"Canada, Germany, South Africa",English
Hell's Angels,"Action, Drama, History","world war i, zeppelin, royal air force, royal flying corps, dogfight, airship",en,United States of America,"French, English, German"
Purple Violets,"Comedy, Drama, Romance",independent film,en,,"English, Italiano"
The Veil,Horror,cult,en,United States of America,English
The Loved Ones,Horror,"killing, high school, female killer, revenge, prom, escape, teenager",en,Australia,English
The Helpers,Horror,,en,United States of America,English
How to Fall in Love,"Comedy, Romance, TV Movie",,en,United States of America,English
The Perfect Wave,"Romance, Adventure, Drama","biography, christian, romance",en,South Africa,English
A Man for All Seasons,"Drama, History","england, pope, beheading, death penalty, thomas more, protestant church, thomas cromwell, oath, henry viii",en,United Kingdom,"English, French, Latin, Spanish"
Network,Drama,"corruption, sex, adultery, television, profit, nudity, power, tv ratings, murder, corporate, reporter, co-worker, meeting, news, fired, network, anchor, structure, rant",en,United States of America,"English, German"
Gone with the Wind,"Drama, Romance, War","life and death, civil war, southern usa, loss of child, marriage proposal, atlanta, luxury, plantation, typhus, business woman, marriage crisis",en,United States of America,English
Desert Dancer,Drama,"dance, ban from profession, biography, iran, oppression, tehran iran",en,"Morocco, Romania, United Arab Emirates, United Kingdom",English
Major Dundee,"War, Western","mexico, prisoners of war, apache, raid, confederate",en,United States of America,"English, French, Spanish"
Annie Get Your Gun,"Action, Comedy, Music, Romance, Western","musical, annie oakley, sharpshooter",en,United States of America,English
Four Lions,"Comedy, Crime, Drama","terrorism, british farce",en,United Kingdom,English
The House of Sand,Drama,"brazil, desert, 1910s",pt,Brazil,Portugues
Defendor,"Drama, Action, Comedy, Crime","crime fighter, delusion, superhero",en,"Canada, United Kingdom, United States of America",English
The Pirate,"Music, Romance","musical, pirate",en,United States of America,English
The Good Heart,"Drama, Comedy, Romance","san francisco, homeless person, bar, suicide attempt, heart attack, friendship, hospital",en,"Denmark, France, Iceland, United States of America","English, Italiano"
The History Boys,"Comedy, Drama",,en,United Kingdom,English
Midnight Cowboy,Drama,shower,en,United States of America,"English, Italiano"
The Full Monty,Comedy,"suicide attempt, striptease, steel worker, repossession, male stripper",en,United Kingdom,English
Airplane!,Comedy,"chicago, alcohol, cataclysm, guitar, medicine, taxi driver, passenger, saxophone, stewardess, pilot, airplane, fear of flying, air controller, landing, autopilot, kiss, spoof, los angeles, alcohol abuse, aftercreditsstinger, anarchic comedy",en,United States of America,English
Chain of Command,"Thriller, Adventure, Action","brother brother relationship, corruption, revenge, government conspiracy",en,United States of America,English
Friday,Comedy,"rap music, parents kids relationship, rapper, job",en,United States of America,English
Menace II Society,"Drama, Action, Crime","black people, drug dealer, ghetto, weapon, delinquency, los angeles",en,United States of America,English
Creepshow 2,Horror,"lake, anthology, revenge, murder, blob, gore, hitchhiker, zombie, hit and run, horror anthology",en,United States of America,English
The Ballad of Cable Hogue,"Action, Comedy, Western","prostitute, homeless person, stagecoach, reverend, way station",en,United States of America,English
In Cold Blood,"Crime, Drama","murder, true crime, farmer",en,United States of America,English
The Nun's Story,Drama,"nurse, missionary, nun, belgium, sanitarium, female protagonist, hospital, tuberculosis, congo, convent, thinness, obedience",en,United States of America,English
Harper,"Action, Drama, Thriller, Crime, Mystery","private eye, lew harper",en,United States of America,English
Frenzy,"Crime, Drama, Mystery, Thriller","london england, rape, police, suspense, serial killer",en,United Kingdom,English
The Witch,"Mystery, Horror","witch, new england, 17th century",en,"Canada, United States of America",English
I Got the Hook Up,"Action, Comedy",,en,United States of America,English
She's the One,"Comedy, Romance",,en,United States of America,"English, French"
Gods and Monsters,Drama,"gay, film director, dying and death, biography, homosexuality, author, lgbt elderly",en,"United Kingdom, United States of America","English, Magyar"
The Secret in Their Eyes,"Crime, Drama, Mystery, Romance","rape, secret, writing, homicide, kidnapping, passion, suspect, investigation, police, partner, murder, tension, argentina, justice, eyes",es,"Argentina, Spain",Spanish
Train,"Horror, Thriller",,en,United States of America,English
Evil Dead II,"Horror, Comedy, Fantasy","deer, blood splatter, tape recorder, chainsaw, spirit, violence, over the top, shot in the arm, book of the dead, evil dead, eyeball, necronomicon, tarmac, meat cleaver, shot through a wall",en,United States of America,English
Pootie Tang,"Action, Comedy","ladykiller, musical, belt, police officer, drug lord",en,United States of America,English
Sharknado,"TV Movie, Horror","california, helicopter, beach, tornado, hurricane, attack, blood, chainsaw, storm, explosion, danger, shark, tv movie, flood",en,United States of America,English
The Other Conquest,"Drama, Foreign","female nudity, pagan, aztec indian",es,Mexico,Spanish
Troll Hunter,"Fantasy, Horror","hunter, mountains, wilderness, adventure, forest, secret government organization, hunting trip, wildlife, conspiracy, troll, mockumentary, found footage, aftercreditsstinger",nb,Norway,Norsk
Ira & Abby,"Comedy, Romance",independent film,en,United States of America,
Winter Passing,"Comedy, Drama","independent film, book editor",en,United States of America,English
D.E.B.S.,Action,"coming out, covert operation, lesbian, female protagonist, in the closet, based on short film, lgbt, metrosexual, subversion, female agent, schoolgirl uniform, punk rocker, lip synching, plaid, thesis, german girl, french girl, woman director, spy spoof",en,United States of America,English
The Masked Saint,"Crime, Action","pastor, based on true story, wrestler",en,United States of America,English
The Betrayed,"Crime, Drama, Mystery, Thriller","kidnapping, revelation, murder, theft, trust, criminal, warehouse, psycho, flashback",en,United States of America,English
Taxman,"Action, Crime, Comedy, Thriller","machinegun, tax inspector, wedding party",en,United States of America,English
The Secret,Drama,miniseries,en,,
2:13,"Horror, Thriller, Mystery","thriller, forensic",en,United States of America,English
"Batman: The Dark Knight Returns, Part 2","Action, Animation","dc comics, future, joker, robin, based on graphic novel, dystopic future, super powers",en,United States of America,English
Time to Choose,Documentary,"climate change, documentary",en,United States of America,English
In the Name of the King III,"Action, Adventure, Drama, Fantasy",based on video game,en,"Bulgaria, Canada",English
Wicked Blood,"Action, Drama, Thriller",,en,United States of America,English
Stranded,Drama,"revenge, murder, u.s. marine",en,United States of America,English
Lords of London,"Crime, Mystery, Thriller","wife husband relationship, gangster, mysterious killer",en,United Kingdom,"Italiano, English"
High Anxiety,"Comedy, Music","industrialist, vertigo, hitman, lighthouse, spoof, hitchcockian",en,United States of America,"English, Magyar"
March of the Penguins,"Documentary, Family","parents kids relationship, penguin, brood, autonomy, egg, survival, snow, antarctic",fr,France,"French, English"
Margin Call,"Thriller, Drama","capitalism, brokerage, wall street, downsizing, financial crisis, stock market, stock market crash, 21st century, investment",en,United States of America,English
August,Drama,"drama, romance, gay relationship",en,,"Spanish, English"
Choke,"Comedy, Drama","strip club, alzheimer, sex addiction",en,United States of America,English
Whiplash,Drama,"jazz, obsession, conservatory, music teacher, new york city, violence, montage, drummer, public humiliation, jazz band, young adult, music school",en,United States of America,English
City of God,"Drama, Crime","male nudity, street gang, brazilian, photographer, 1970s, puberty, ghetto, gang war, coming of age, woman director, 1980s",pt,"Brazil, France",Portugues
Human Traffic,"Comedy, Drama","sex, salesclerk, fast food restaurant, boredom, relationship problems, party, relationship, drug, alcohol abuse, fashion, group of friends",en,"United Kingdom, Ireland",English
To Write Love on Her Arms,"Drama, Music","depression, biography, drug",en,United States of America,English
The Dead Girl,"Mystery, Drama, Crime, Thriller","prostitute, fire, newspaper, independent film, woman director",en,United States of America,English
The Hunt,Drama,"father son relationship, denmark, lie, pedophilia, kindergarten, father, deer, children, teacher, school, pedophile, divorce, hunting",da,"Denmark, Sweden","Dansk, Polski, English"
A Christmas Story,"Comedy, Family","holiday, nostalgia, young boy, bb gun, essay, christmas tree dealer, mall santa, christmas, 1940s",en,"United States of America, Canada",English
Bella,"Drama, Romance","waitress, beach, independent film, soccer, girl, chance meeting, flashback",en,"Mexico, United States of America","English, Spanish"
Class of 1984,"Action, Drama, Horror, Crime, Thriller","usa, female nudity, detective, music teacher, nudity, punk, high school, vigilante, violence in schools, murder, independent film, teacher, gang, lesbian, gang rape, juvenile delinquent, punk band, canuxploitation",en,Canada,English
The Opposite Sex,Comedy,"bet, divorce, gender, battle of the sexes, life competition",en,United States of America,English
Dreaming of Joseph Lees,"Romance, Drama","lust, love crime",en,"United Kingdom, United States of America",English
The Class,Drama,"paris, socially deprived family, literature, illegal immigration, immigrant, education, boredom, class society, violence in schools, republicanism, diversity, teacher, school, school life, teachers and students",fr,France,French
Rosemary's Baby,"Horror, Drama, Mystery","anti-christ, contemporary setting, laundry, occult, demonic possession, satanic cult, lucky charm, woman in jeopardy, eating disorder, catholic priest",en,United States of America,English
The Man Who Shot Liberty Valance,Western,"gunslinger, showdown, funeral, legend, to shoot dead, outlaw, lawyer, pistol, rancher, stagecoach, cowboy",en,United States of America,English
Adam,"Drama, Romance",,en,United States of America,English
Maria Full of Grace,"Drama, Thriller, Crime","individual, new york, adolescence, colombia, drug traffic, cocaine, drug crime, illegal immigration, maquiladora, airplane, bravery, teacher, pregnancy, self esteem",es,"Ecuador, Colombia, United States of America","English, Spanish"
Beginners,"Drama, Romance, Comedy","gay, loss of mother, secret, coming out, loss of father, cancer, lgbt elderly",en,United States of America,"English, French"
Feast,"Action, Comedy, Horror","monster, pub, duringcreditsstinger",en,United States of America,English
Animal House,Comedy,"sex, nudity, college, fraternity, gross out comedy, dean, fraternity house, probation, 1960s, college freshman, anarchic comedy",en,United States of America,English
Goldfinger,"Adventure, Action, Thriller","secret organization, secret intelligence service, nuclear radiation, fort knox, aston martin, secret lab, kentucky, gas attack, airplane, british secret service, duringcreditsstinger",en,"United Kingdom, United States of America","English, Spanish"
Antiviral,"Science Fiction, Horror","injection, celebrity, satire, near future, metamorphosis, tech noir, virus, body horror",en,Canada,English
It's a Wonderful Life,"Drama, Family, Fantasy","holiday, angel, based on novel, bank, suicide attempt, small town, christmas tree, great depression, christmas eve, feel-good ending, guardian angel, christmas",en,United States of America,English
Trainspotting,"Drama, Crime","london england, alcohol, sex, based on novel, drug addiction, drug dealer, nightclub, junkie, heroin, cold turkey, modern society, hallucination, friendship, surrealism, dark comedy, stealing, monologue, cult film, recovering drug addict, illegal drugs, drug deal, drug rehabilitation, drug culture, antihero",en,United Kingdom,English
The Original Kings of Comedy,Comedy,,en,United States of America,English
Paranormal Activity 2,"Horror, Thriller","ouija board, haunting, demonic possession, found footage, duringcreditsstinger",en,United States of America,English
Waking Ned,"Comedy, Romance","false identity, beguilement, lottery, village, jackpot, independent film, ireland",en,"France, United Kingdom, United States of America","English, Gaeilge, Latin"
Bowling for Columbine,Documentary,"usa, canada, gun, homicide, to shoot dead, checks and balances, columbine, oklahoma city bombing, gun violence, person running amok",en,United States of America,English
Coming Home,Drama,"arranged marriage, labor camp",zh,China,
A Nightmare on Elm Street Part 2: Freddy's Revenge,Horror,"gay, dancing, fire, diary, nightmare, haunted house, transformation, supernatural, high school, party, possession, premonition, spontaneous combustion, bdsm, school bus, disfigurement, sleepwalking, dreams",en,United States of America,English
A Room with a View,"Drama, Romance","kiss, bed and breakfast place, florence",en,United Kingdom,"English, Italiano"
The Purge,"Science Fiction, Horror, Thriller","dystopia, barricade, home invasion, constitutional convention, legalized murder, social allegory",en,"France, United States of America",English
Sinister,"Horror, Thriller, Mystery","drowning, pennsylvania, child murderer, car set on fire, murder, bag over head, massacre, power outage, hanged man, held captive, hanging, death, attic, no opening credits, super-8, ghost child, filmed killing, crime novelist",en,United States of America,"English, Portugues, French"
Martin Lawrence Live: Runteldat,Comedy,"daily life, scandal, growing up, divorce",en,United States of America,English
Cat on a Hot Tin Roof,"Drama, Romance","individual, suicide, southern usa, adultery, mississippi, depression, jealousy, wife husband relationship, dying and death, alcoholic",en,United States of America,English
Beneath the Planet of the Apes,"Adventure, Science Fiction, Mystery","mutant, dystopia, survivor, astronaut, ape, science, worship",en,United States of America,English
Air Bud,"Comedy, Family, Drama","clown, golden retriever, dog actor",en,"Canada, United States of America",English
Pokémon: Spell of the Unknown,"Adventure, Fantasy, Animation, Action, Family","mountains, mountain village, friendship, based on tv series, young boy, pokemon, best friend, fighting, based on video game, pikachu, anime",ja,Japan,English
Friday the 13th Part VI: Jason Lives,"Horror, Mystery, Thriller","lightning, cemetery, mask, slasher, jason vorhees",en,United States of America,English
The Bridge on the River Kwai,"Drama, History, War","japan, resistance, japanese, river, prisoners of war, thailand, bridge, officer",en,"United Kingdom, United States of America",English
Spaced Invaders,"Comedy, Family, Science Fiction","alien, martian, misunderstanding, greedy developer",en,United States of America,English
Family Plot,"Comedy, Crime, Thriller","fortune teller, kidnapping, false identity, heir, spiritualist",en,United States of America,English
The Apartment,"Comedy, Drama, Romance",,en,United States of America,English
Jason Goes to Hell: The Final Friday,"Fantasy, Horror, Thriller","male nudity, female nudity, waitress, camping, nudity, psychopath, sequel, murder, independent film, serial killer, diner, slasher, series of murders, violence, hockey mask, jason vorhees, madman",en,United States of America,English
Torn Curtain,"Mystery, Thriller","cold war, east germany",en,United States of America,"English, German, Norsk, Swedish"
Dave Chappelle's Block Party,"Comedy, Documentary, Music","black people, hip-hop, block party, megaphone, classroom, brass band, stage",en,United States of America,"English, German"
Slow West,"Romance, Thriller, Western","fire, bounty hunter, shotgun, horseback riding, horse, cabin, frontier, outlaw, rifle, unrequited love, death of father, native american, shootout, search, pistol, death by accident, violence, ireland, drinking, pursuit, shot through a wall, flaming arrow, dream sequence, flashback, shot in the heart",en,"New Zealand, United Kingdom","English, Turkce"
Krush Groove,"Drama, Music, Romance",,en,United States of America,English
Next Day Air,"Action, Comedy, Crime",duringcreditsstinger,en,United States of America,English
Elmer Gantry,Drama,"evangelist, revivalism",en,United States of America,English
Judgment at Nuremberg,"Drama, History","judge, concentration camp, world war ii, nazis, court case, national socialism, national socialist party, nuremberg trials, right and justice, trial",en,"Germany, United States of America",English
Trippin',"Comedy, Romance","high school, prom",en,United States of America,English
Red River,Western,"texas, dangerous, kansas, cattle drive, revenge, cattle, adopted child, cattle empire",en,United States of America,"English, German, Italiano, Spanish"
Phat Girlz,"Comedy, Romance",woman director,en,United States of America,English
Before Midnight,"Romance, Drama","hotel, airport, hotel room, greece, dream, greek, friends, author, writer, summer vacation, twins",en,"Greece, United States of America","English, French"
Teen Wolf Too,"Comedy, Fantasy, Family","werewolf, teenager",en,United States of America,English
Phantasm II,"Action, Horror, Science Fiction, Thriller","portal, undertaker, evil, tall man, sentinals",en,United States of America,English
Woman Thou Art Loosed,Drama,independent film,en,United States of America,English
Real Women Have Curves,"Comedy, Drama","independent film, woman director",en,,English
Water,"Drama, Foreign, Romance","site of pilgrimage, widow, varanasi, hinduism, child bride, mahatma gandhi, woman director",en,Canada,
East Is East,Comedy,"islam, hippie, father son relationship, muslim, jealousy, tradition, culture clash, religious education, modern society, pakistani, daughter, faith, integration, cultural difference",en,United Kingdom,English
Whipped,"Comedy, Romance","independent film, diner, dating, masturbation",en,United States of America,"Italiano, English"
Kama Sutra - A Tale of Love,"Drama, History, Romance","poetry, eroticism, woman director",en,"United Kingdom, India, United States of America, Japan, Germany",English
Please Give,"Comedy, Drama","suicide, new york, infidelity, cancer, independent film, neighbor, apartment, woman director",en,United States of America,English
Willy Wonka & the Chocolate Factory,"Family, Fantasy","chocolate, factory worker, based on novel, candy, tv addicted person, overweight child, grandfather grandson relationship, factory, musical, single, teacher",en,United States of America,"English, French, German"
Warlock: The Armageddon,"Fantasy, Horror, Science Fiction","armageddon, warlock",en,United States of America,English
8 Heads in a Duffel Bag,"Comedy, Crime","mexico, vacation, murder, head",en,"United Kingdom, United States of America","Spanish, English"
Days of Heaven,"Drama, Romance","love triangle, chicago, wife husband relationship, texas, field, farm, marriage, love, poverty, class differences, farmer, jealous husband, boyfriend girlfriend relationship, harvest",en,United States of America,"English, Italiano"
Thirteen Conversations About One Thing,Drama,"independent film, woman director",en,United States of America,English
Jawbreaker,Comedy,"confession, jealousy, nightmare, ambition, groupie, high school, cafeteria, revenge, prom, dead body, dating, fashion, rock band, fantasy sequence, slow motion, multiple identities, pop music, makeover, polaroid camera, public humiliation, social outcast, sidekick, prank gone wrong, cliques, social climbing, back stabbing, dead teenager, goth girls",en,United States of America,English
Basquiat,"Drama, History","new york, sex, drug abuse, homeless person, new love, drug addiction, overdose, graffiti, street art, vernissage, exhibit, friendship, independent film, drug, celebration",en,United States of America,"English, Spanish"
Frances Ha,"Comedy, Drama","friendship, loneliness, black and white, responsibility, late coming of age",en,"Brazil, United States of America",English
Tsotsi,"Crime, Drama","slum, baby, fight, nudity, leader, johannesburg, police, love, friends, murder, gang, teenager, violence, criminal, hijack",af,South Africa,"Afrikaans, isiZulu"
Happiness,"Comedy, Drama","rape, sister sister relationship, lover (female), pedophilia, sister, partnership, stalker, secret love, independent film, relationship, extramarital affair, family conflict, unhappiness",en,United States of America,English
DysFunktional Family,"Comedy, Documentary",,en,United States of America,English
Tusk,"Comedy, Horror","canada, obsession, walrus, deception, search, disfigurement, experimental surgery, abduction",en,United States of America,English
Oldboy,"Drama, Thriller, Mystery, Action","sushi restaurant, rage and hate, notebook, daughter, hostility, sin, revenge, loneliness, urination, anger, catholic, incest, south hypnosis",ko,South Korea,","
Letters to God,"Action, Drama, Family, Thriller","letter, hope, postman, god, cancer, independent film, aftercreditsstinger",en,United States of America,English
Hobo with a Shotgun,"Action, Comedy, Thriller","female nudity, prostitute, shotgun, pimp, underwear, dystopia, vigilante, blood, massacre, brutality, violence, spitting blood, white suit, genocide, body mutilation, extreme sadism, child killer, sawed off shotgun, flamethrower, attempted robbery, intestines, disembowelment, attempted rape, shot repeatedly",en,"United States of America, Canada",English
Compadres,"Action, Comedy",,es,,English
Freeway,"Comedy, Drama, Thriller","prison, attempt to escape, step father, independent film, hitchhiker",en,United States of America,English
Love's Abiding Joy,"TV Movie, Action, Drama, Family",,en,United States of America,English
Fish Tank,Drama,"dancing, mother, alcohol, sex, adultery, fight, nudity, sister, friendship, party, independent film, school, essex, teenager, theft, violence, apartment, estate, boyfriend, teenage rebellion, voyeur, woman director, aggressive",en,"United Kingdom, Netherlands",English
Damsels in Distress,"Comedy, Romance","college, female friendship, young adult",en,United States of America,English
Creature,"Horror, Science Fiction, Thriller",,en,United States of America,English
Bachelorette,"Comedy, Romance","bridesmaid, strip club, female friendship, reunion, drug use, wedding, wedding dress, childhood friends, woman director, bachelorette party, bitch, fat woman",en,United States of America,English
Brave New Girl,"Drama, Music, Family",tv movie,en,United States of America,English
Tim and Eric's Billion Dollar Movie,Comedy,"restaurant, wolf, shopping mall, filmmaker, billion dollars, fake commercial",en,United States of America,English
Summer Storm,"Comedy, Drama","holiday, gay, male nudity, competition, sexual identity, sex, lovesickness, heterosexual, coming out, row, lake, camping, tent, summer camp, friendship, sport, crush, teenage crush, summer, youth, lgbt",de,Germany,German
Fort McCoy,"War, Drama, History",woman director,en,,
Chain Letter,"Horror, Thriller","killing, friendship, teenager, maniac, mysterious letter, text message, threat",en,United States of America,English
Just Looking,"Drama, Comedy","new york, nurse, sex, infidelity, nudity, romance, independent film, neighbor, teenager, voyeurism, curious",en,United States of America,English
The Divide,Science Fiction,"basement, violence, septic tank, town in panic, welding, gunshot",en,"Canada, Germany, United States of America",English
The Eclipse,"Drama, Horror, Romance",,en,,English
Demonic,"Thriller, Horror","detective, haunted house, investigation, anti-christ, possession, car crash, trance, video camera, demon, seance, infra red, missing",en,"United Kingdom, United States of America",English
My Big Fat Independent Movie,Comedy,independent film,en,United States of America,English
The Deported,"Comedy, Family",,en,,English
Tanner Hall,Drama,"boarding school, woman director",en,United States of America,"English, German"
Open Road,"Action, Drama, Thriller","drug dealer, police, killer, illegal drugs, dealer",en,"Brazil, United States of America","English, Portugues"
They Came Together,Comedy,,en,United States of America,English
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,Comedy,"parody, horror comedy",en,United States of America,English
Never Back Down 2: The Beatdown,"Drama, Action","male nudity, cage, kiss, fistfight, sport, cage fighting, kickboxer, martial arts tournament, beefcake, martial arts training",en,United States of America,English
Point Blank,"Action, Crime, Drama, Thriller","alcatraz, revenge, organized crime",en,United States of America,English
Four Single Fathers,"Drama, Comedy",,en,"United States of America, Italy","Italiano, English"
Enter the Dangerous Mind,Thriller,"composer, obsession",en,United States of America,English
Something Wicked,"Mystery, Thriller","obsession, oregon, independent film",en,United States of America,English
AWOL-72,Thriller,"russian, getaway, lapd, awol, special ops",en,United States of America,English
Iguana,,,en,,"English, Spanish"
Chicago Overcoat,"Action, Crime, Thriller",,en,United States of America,English
Barry Munday,"Comedy, Drama, Romance","based on novel, letter, paternity, castration, doctor, pregnancy, lamborghini, testicles, air guitar, genital mutilation",en,United States of America,English
Central Station,Drama,"brazilian, brazil, rio de janeiro, letter, wilderness, teacher, alcoholic, railroad, missing father, long lost relative, realism",pt,Brazil,Portugues
Pocketful of Miracles,"Comedy, Drama","dude, prohibition, deception, new york city, apple, luck, dowager, high society, 1930s",en,United States of America,"English, Spanish"
Close Range,"Crime, Action",,en,United States of America,English
Boynton Beach Club,"Comedy, Drama, Romance",independent film,en,,English
Amnesiac,"Thriller, Mystery, Drama, Horror",,en,United States of America,English
Freakonomics,Documentary,"female nudity, corruption, cheating, experiment, limousine, high school, independent film, student, economics, real estate, woman director",en,United States of America,English
High Tension,"Horror, Thriller, Mystery","mass murder, insanity, gore, survival, farmhouse, extreme violence, maniac, home invasion, bound and gagged, circular saw, new french extremism",fr,France,"Italiano, English, French"
Griff the Invisible,"Romance, Comedy, Drama","love, superhero, independent film, comedy",en,Australia,"English, Portugues"
Unnatural,"Thriller, Action, Horror","climate change, polar bear",en,United States of America,English
Hustle & Flow,Drama,"rap music, hip-hop, baby, midlife crisis, drug dealer, career, musical, rapper, independent film",en,United States of America,English
Some Like It Hot,"Comedy, Romance",,en,United States of America,English
Friday the 13th Part VII: The New Blood,"Horror, Thriller","lake, mask, telekinesis, psychopath, slasher, teenager, psychiatrist, jason vorhees",en,United States of America,English
The Wizard of Oz,"Adventure, Family, Fantasy","witch, adolescence, based on novel, secret identity, clock, dream, lion, tornado, scarecrow, musical, crow, music, kansas, classic, imaginary land, cowardliness, sepia color",en,United States of America,English
Young Frankenstein,"Comedy, Science Fiction",,en,United States of America,"English, German"
Diary of the Dead,"Horror, Action, Science Fiction","zombie, found footage",en,United States of America,English
Lage Raho Munna Bhai,"Comedy, Drama, Romance","historical figure, comedy, bollywood, india",en,India,
Ulee's Gold,Drama,"father son relationship, florida, stolen money, dysfunctional family, independent film, stabbing, bank robbery, father-in-law daughter-in-law relationship, beekeeper, orlando florida",en,United States of America,English
The Black Stallion,"Adventure, Family","poker, horse, barn, training, sport, rescue, survival, deserted island, stallion",en,United States of America,"English, Italiano"
Sardaarji,,,en,India,
Journey to Saturn,"Action, Adventure, Animation, Comedy, Science Fiction",,en,Denmark,Dansk
Donovan's Reef,"Adventure, Comedy, Romance","birthday, half-brother, priest, mission clinic, polynesia, bar brawl, christmas, piano, half sister, navy veterans, tiki culture",en,United States of America,"English, French"
The Dress,"Comedy, Drama",calamity,nl,Netherlands,Dutch
A Guy Named Joe,"Drama, Romance, War","pilot, airplane, ghost",en,United States of America,English
Blazing Saddles,"Western, Comedy","gun, saloon, governor, marching band, comedy, western, spoof, interrupted hanging, railroad, cowboy, western town, western spoof, ceremony, frontier town, looking at the camera, saloon girl, movie reality crossover, nietzsche, coot, self-referential, female singer, anarchic comedy",en,United States of America,"English, German"
Friday the 13th: The Final Chapter,"Horror, Thriller","lake, resurrection, morgue, serial killer, jason vorhees, hitchhike",en,United States of America,"English, Spanish"
Ida,Drama,"nun, mine, jew, jewish, poland",pl,"Denmark, France, Poland, United Kingdom",Polski
Maurice,"Drama, Romance","gay, coming out, british, gay relationship, coming of age, lgbt child, lgbt, best friends in love",en,United Kingdom,English
Beer League,Comedy,"baseball, sport",en,United States of America,English
Riding Giants,Documentary,"ocean, california, sea, beach, surfer, hawaii, wave, sun, surfboard, lifestyle, extremsport",en,"France, United States of America",English
Timecrimes,"Science Fiction, Thriller","scissors, radio, nudity, time, woods, surrealism, travel, independent film, scientist, machine, nonlinear timeline, binoculars, injury, voyeur, loop",es,Spain,Spanish
Silver Medalist,"Action, Adventure, Comedy, Drama, Foreign",,zh,China,
